Comment,Designator,Footprint,LCSC
TestPoint,IO2,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,
TestPoint,PROG1,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,
TestPoint,IO39,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,
TestPoint,VIN1,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,
TestPoint,GND4,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,
TestPoint,GND3,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,
TestPoint,GND2,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,
TestPoint,GND1,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,
TestPoint,5V0,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,
TestPoint,3V32,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,
TestPoint,3V31,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,
TestPoint,MOSI1,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,
TestPoint,MISO1,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,
TestPoint,IO36,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,
TestPoint,IO35,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,
TestPoint,IO34,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,
TestPoint,IO33,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,
TestPoint,IO32,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,
TestPoint,IO27,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,
TestPoint,IO26,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,
TestPoint,IO25,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,
TestPoint,IO23,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,
TestPoint,IO22,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,
TestPoint,IO21,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,
TestPoint,IO19,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,
TestPoint,IO18,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,
TestPoint,IO15,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,
TestPoint,IO14,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,
TestPoint,IO13,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,
TestPoint,IO12,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,
TestPoint,IO5,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,
TestPoint,IO4,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,
MountingHole,H3,MountingHole_2.5mm_Pad_Via,
MountingHole,H4,MountingHole_2.5mm_Pad_Via,
MountingHole,H2,MountingHole_2.5mm_Pad_Via,
MountingHole,H1,MountingHole_2.5mm_Pad_Via,
ESP32-DevBoard-Header,J3,PinHeader_2x20_P2.54mm_Vertical,
