Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
3V31,TestPoint,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,10.634988,-10.7731,0.0,top
3V32,TestPoint,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,10.904988,-48.8731,0.0,top
5V0,TestPoint,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,9.364988,-51.4131,0.0,top
GND1,TestPoint,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,9.364988,-8.2331,0.0,top
GND2,TestPoint,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,9.364988,-13.3131,0.0,top
GND3,TestPoint,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,9.364988,-46.3331,0.0,top
GND4,TestPoint,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,9.364988,-56.4931,0.0,top
IO2,TestPoint,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,13.174988,-43.7931,0.0,top
IO4,TestPoint,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,13.174988,-41.2531,0.0,top
IO5,TestPoint,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,18.254988,-39.9831,0.0,top
IO12,TestPoint,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,13.174988,-28.5531,0.0,top
IO13,TestPoint,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,18.254988,-29.8231,0.0,top
IO14,TestPoint,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,18.254988,-27.2831,0.0,top
IO15,TestPoint,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,18.254988,-45.0631,0.0,top
IO18,TestPoint,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,13.174988,-38.7131,0.0,top
IO19,TestPoint,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,18.254988,-37.4431,0.0,top
IO21,TestPoint,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,13.174988,-36.1731,0.0,top
IO22,TestPoint,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,18.254988,-32.3631,0.0,top
IO23,TestPoint,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,13.174988,-31.0931,0.0,top
IO25,TestPoint,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,13.174988,-23.4731,0.0,top
IO26,TestPoint,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,18.254988,-24.7431,0.0,top
IO27,TestPoint,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,13.174988,-26.0131,0.0,top
IO32,TestPoint,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,13.174988,-20.9331,0.0,top
IO33,TestPoint,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,18.254988,-22.2031,0.0,top
IO34,TestPoint,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,13.174988,-18.3931,0.0,top
IO35,TestPoint,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,18.254988,-19.6631,0.0,top
IO36,TestPoint,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,13.174988,-15.8531,0.0,top
IO39,TestPoint,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,18.254988,-17.1231,0.0,top
MISO1,TestPoint,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,13.174988,-33.6331,0.0,top
MOSI1,TestPoint,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,18.254988,-34.9031,0.0,top
PROG1,TestPoint,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,18.254988,-42.5231,0.0,top
VIN1,TestPoint,TestPoint_Bridge_Pitch2.54mm_Drill1.0mm,10.634988,-53.9531,0.0,top
