Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,1 uF,C_1206_3216Metric,12.446,-50.038,90.0,top
C3,1 uF,C_0603_1608Metric,6.604,-34.798,180.0,top
C4,100uF,CP_EIA-7343-20_Kemet-V,6.251,-37.992,0.0,top
C5,1 uF,C_0603_1608Metric,9.251,-52.742,180.0,top
C6,1 uF,C_0603_1608Metric,13.843,-33.782,-90.0,top
C7,47uF,CP_EIA-7343-20_Kemet-V,2.751,-48.992,270.0,top
C8,0.1 uF,C_0603_1608Metric,5.207,-10.287,-90.0,top
C9,1 uF,C_0603_1608Metric,7.0,-2.159,90.0,top
C10,100uF,CP_EIA-7343-20_Kemet-V,2.54,-30.099,90.0,top
C11,1 uF,C_0603_1608Metric,12.7,-25.654,90.0,top
D1,SS36,D_SMA,6.251,-42.492,180.0,top
D2,BAT54C,SOT-23,50.927,-12.7,180.0,top
D3,BAT54C,SOT-23,30.48,-2.54,180.0,top
D4,BAT54C,SOT-23,30.48,-6.35,180.0,top
D7,LED,CHIPLED_0603,1.016,-40.588,180.0,top
D8,LED,CHIPLED_0603,6.985,-23.368,180.0,top
D12,LED,CHIPLED_0603,5.207,-23.368,180.0,top
L1,47uH/3A,L_Wuerth_HCI-1040,16.251,-41.492,90.0,top
R1,470R,R_0603_1608Metric,34.29,-1.524,0.0,top
R2,470R,R_0603_1608Metric,34.29,-3.556,0.0,top
R3,470R,R_0603_1608Metric,5.969,-7.874,0.0,top
R4,10K,R_0603_1608Metric,6.731,-5.461,90.0,top
R5,4.7K,R_0603_1608Metric,25.432,-21.5,180.0,top
R6,4.7K,R_0603_1608Metric,5.334,-16.002,-90.0,top
R7,470R,R_0603_1608Metric,5.969,-13.589,0.0,top
R8,470R,R_0603_1608Metric,34.29,-7.239,0.0,top
R9,470R,R_0603_1608Metric,34.29,-5.461,0.0,top
R10,470R,R_0603_1608Metric,5.207,-20.32,90.0,top
R14,4.7K,R_0603_1608Metric,51.001,-10.16,180.0,top
R15,4.7K,R_0603_1608Metric,51.128,-15.2775,180.0,top
R26,470R,R_0603_1608Metric,1.016,-37.338,90.0,top
R27,470R,R_0603_1608Metric,8.636,-22.098,90.0,top
SW1,SW_Push,SW_SPST_CK_RS282G05A3,2.159,-10.668,-90.0,top
SW2,SW_Push,SW_SPST_CK_RS282G05A3,2.159,-20.574,-90.0,top
U1,ESP32-WROOM-32D,ESP32-WROOM-32,17.75,-10.0,270.0,top
U2,XL2001,SOIC-8_3.9x4.9mm_P1.27mm,8.001,-48.242,0.0,top
U3,AMS1117-3.3,SOT-223-3_TabPin2,9.398,-29.591,270.0,top
