Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,0.1u,
"D1, D2, D3, D4, D5, D6",0603,6,LED,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_Via,4,MountingHole,
J1,WE 691411410002 - 2 Pin Wire-To-Board Terminal Block,1,Conn_01x02,
"J2, J3, J4",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,3,Conn_01x04,
J5,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,1,Conn_01x05,
J6,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x05,
J7,"PhoenixContact_MC_1,5_2-G-5.08_1x02_P5.08mm_Horizontal",1,Conn_01x02,
"R1, R2, R3, R4, R5, R6, R7, R8",0603,8,R_Small,
"U1, U2, U3",PZEM-004T-100A-D-P,3,~,
U4,SOT-23-6_Handsoldering,1,74AUC2G07,
