Designator,Mid X,Mid Y,Rotation,Layer
C1,51.1,92.5,90.0,top
D1,39.0,90.5,180.0,top
D2,30.0,94.5,0.0,top
D3,30.0,90.5,0.0,top
D4,30.0,92.5,0.0,top
D5,39.0,92.5,180.0,top
D6,39.0,94.5,180.0,top
J1,54.19,6.0,90.0,top
J2,12.5,6.0,0.0,top
J3,34.5,6.0,0.0,top
J4,70.5,6.0,0.0,top
J5,69.0,92.0,0.0,top
J6,12.0,92.0,0.0,top
J7,51.75,7.1825,0.0,top
R1,42.5,90.5,0.0,top
R2,26.5,94.5,180.0,top
R3,26.5,90.5,180.0,top
R4,26.5,92.5,180.0,top
R5,42.5,92.5,0.0,top
R6,42.5,94.5,0.0,top
R7,48.7,89.0,270.0,top
R8,48.7,94.0,90.0,top
U1,15.0,50.0,90.0,top
U2,46.0,50.0,90.0,top
U3,77.0,50.0,90.0,top
U4,53.9,92.5,270.0,top
