Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,0.1u,
"D1, D2, D3, D4, D5, D6, D7, D8",0603,8,LED,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_Via,4,MountingHole,
J1,"PhoenixContact_MC_1,5_2-G-5.08_1x02_P5.08mm_Horizontal",1,Conn_01x02,
J10,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,1,Conn_01x05,
"J2, J3, J4, J5, J6",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,5,Conn_01x04,
J9,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,1,Conn_01x05,
"R1, R10, R2, R3, R4, R5, R6, R7, R8, R9",0603,10,R_Small,
"U1, U2, U3, U4, U5",PZEM Card-Socket,5,~,
U8,SOT-23-6_Handsoldering,1,74AUC2G07,
