Designator,Mid X,Mid Y,Rotation,Layer
C1,49.5,87.5,180.0,top
D1,29.5,90.0,90.0,top
D2,32.0,90.0,90.0,top
D3,34.5,90.0,90.0,top
D4,37.0,90.0,90.0,top
D5,39.5,90.0,90.0,top
D6,42.0,90.0,90.0,top
D7,44.5,90.0,90.0,top
D8,47.0,90.0,90.0,top
J1,64.515,4.9325,0.0,top
J10,24.0,88.0,180.0,top
J2,14.0,4.0,180.0,top
J3,22.5,4.0,180.0,top
J4,29.0,5.0,0.0,top
J5,43.0,5.0,0.0,top
J6,53.0,5.0,0.0,top
J9,71.0,88.0,180.0,top
R1,29.5,86.0,270.0,top
R10,47.0,86.0,270.0,top
R2,32.0,86.0,270.0,top
R3,34.5,86.0,270.0,top
R4,37.0,86.0,270.0,top
R5,39.5,86.0,270.0,top
R6,42.0,86.0,270.0,top
R7,77.0,65.6,180.0,top
R8,77.0,68.0,180.0,top
R9,44.5,86.0,270.0,top
U1,0.5,9.49,90.0,top
U2,17.0,9.5,90.0,top
U3,33.5,9.5,90.0,top
U4,50.0,9.5,90.0,top
U5,66.69,9.5,90.0,top
U8,53.5,87.5,90.0,top
