Comment,Designator,Footprint,LCSC
47uH/3A,L1,L_Wuerth_HCI-1040,C149548
LED,"D2,D3,D4,D5",CHIPLED_0603,C165982
R_Small,"R1,R2,R3,R4",R_0603_1608Metric,C23179
Conn_01x05,J5,JST_SH_BM05B-SRSS-TB_1x05-1MP_P1.00mm_Vertical,C265092
Conn_01x06,J6,JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical,C495540
B540C,D1,D_SMC_Handsoldering,C72264
XL2012,U2,SOIC-8_3.9x4.9mm_P1.27mm,C73338
47uF,C7,CP_EIA-7343-20_Kemet-V,C87110
1 uF,"C2,C3,C5,C6",C_0603_1608Metric,C92796
100uF,C4,CP_EIA-7343-20_Kemet-V,C962612
47uF,C8,CP_Radial_D6.3mm_P2.50mm,
Conn_01x03,J7,JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical,
Raspberry_Pi_2_3,J2,PinHeader_2x20_P2.54mm_Vertical,
Conn_01x02,J1,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,
Conn_01x01,J4,Pin_D1.3mm_L11.0mm,
Conn_01x01,J3,Pin_D1.3mm_L11.0mm,
47uF,C1,CP_Radial_D6.3mm_P2.50mm,
