Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,47uF,CP_Radial_D6.3mm_P2.50mm,3.683,5.842,-90.0,top
C2,1 uF,C_0603_1608Metric,9.017,5.334,-90.0,top
C3,1 uF,C_0603_1608Metric,34.29,3.683,0.0,top
C4,100uF,CP_EIA-7343-20_Kemet-V,33.909,9.144,270.0,top
C5,1 uF,C_0603_1608Metric,9.525,8.001,0.0,top
C6,1 uF,C_0603_1608Metric,33.02,2.032,0.0,top
C7,47uF,CP_EIA-7343-20_Kemet-V,14.605,3.302,180.0,top
C8,47uF,CP_Radial_D6.3mm_P2.50mm,38.735,5.08,0.0,top
D1,B540C,D_SMC_Handsoldering,22.098,14.986,180.0,top
D2,LED,CHIPLED_0603,34.671,17.387,180.0,top
D3,LED,CHIPLED_0603,32.131,15.367,-90.0,top
D4,LED,CHIPLED_0603,45.085,5.715,180.0,top
D5,LED,CHIPLED_0603,45.085,8.89,180.0,top
J1,Conn_01x02,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,4.445,15.24,-90.0,top
J2,Raspberry_Pi_2_3,PinHeader_2x20_P2.54mm_Vertical,2.54,20.32,90.0,top
J3,Conn_01x01,Pin_D1.3mm_L11.0mm,8.763,11.811,0.0,top
J4,Conn_01x01,Pin_D1.3mm_L11.0mm,8.763,15.494,0.0,top
J5,Conn_01x05,JST_SH_BM05B-SRSS-TB_1x05-1MP_P1.00mm_Vertical,39.624,13.716,90.0,top
J6,Conn_01x06,JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical,47.625,15.367,0.0,top
J7,Conn_01x03,JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical,50.038,8.636,-90.0,top
L1,47uH/3A,L_Wuerth_HCI-1040,25.273,5.969,0.0,top
R1,R_Small,R_0603_1608Metric,33.147,17.526,-90.0,top
R2,R_Small,R_0603_1608Metric,31.369,17.526,-90.0,top
R3,R_Small,R_0603_1608Metric,42.545,9.271,0.0,top
R4,R_Small,R_0603_1608Metric,43.18,12.065,-90.0,top
U2,XL2012,SOIC-8_3.9x4.9mm_P1.27mm,15.24,8.636,270.0,top
