Comment,Designator,Footprint,LCSC
2.2K,R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
10K,R26,R_Axial_DIN0204_L3.6mm_D1.6mm_P12.7mm_Horizontal,
LED,D3,LED_D5.0mm,
Limit Switches Out,J12,JST_XA_B05B-XASK-1_1x05_P2.50mm_Vertical,
2.2K,R9,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
470u,C11,CP_Radial_D8.0mm_P3.50mm,
0.1u,C2,C_Disc_D3.8mm_W2.6mm_P2.50mm,
Screw_Terminal_01x02,J4,TerminalBlock_bornier-2_P5.08mm,
D_Schottky,D9,D_DO-15_P12.70mm_Horizontal,
470R,R10,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
2.2K,R5,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
100u,C8,CP_Radial_D8.0mm_P3.50mm,
100K,RV1,Potentiometer_Bourns_3299Y_Vertical,
TestPoint,TP5,TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,
10K,R16,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
DC-DC,PS1,Generic_DCDC_Red,
1K,R19,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
1K,R20,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
2.2K,R8,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
LED,D7,LED_D5.0mm,
2.2K,R11,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
2.2K,R15,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
10K,R25,R_Axial_DIN0204_L3.6mm_D1.6mm_P12.7mm_Horizontal,
TestPoint,TP4,TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,
L7805,U3,TO-220-3_Horizontal_TabDown,
SANYOU_SRD_Form_C,K2,Relay_SPDT_SANYOU_SRD_Series_Form_C,
470R,R13,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
ULN2003,U1,DIP-16_W7.62mm_Socket_LongPads,
B260,D4,D_DO-15_P12.70mm_Horizontal,
2.2K,R12,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
D_Schottky,D11,D_DO-15_P12.70mm_Horizontal,
Relay Signals,J3,JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical,
10n,C3,C_Disc_D3.8mm_W2.6mm_P2.50mm,
470u,C6,CP_Radial_D8.0mm_P3.50mm,
220,R23,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
LED,D5,LED_D5.0mm,
TestPoint,TP3,TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,
100K,RV2,Potentiometer_Bourns_3299Y_Vertical,
2.2K,R29,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
SANYOU_SRD_Form_C,K1,Relay_SPDT_SANYOU_SRD_Series_Form_C,
Screw_Terminal_01x02,J2,TerminalBlock_bornier-2_P5.08mm,
MountingHole,H5,MountingHole_3.2mm_M3_Pad_Via,
Limit Switch Y,J7,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,
LED,D6,LED_D5.0mm,
2.2K,R28,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
2.2K,R14,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
MountingHole,H2,MountingHole_3.2mm_M3_Pad_Via,
74HC14,U2,DIP-14_W7.62mm_Socket_LongPads,
0.1u,C1,C_Disc_D3.8mm_W2.6mm_P2.50mm,
TestPoint,TP1,TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,
Limit Switch X,J5,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,
2.2K,R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
220,R24,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
220,R22,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
2.2K,R21,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
0.1u,C5,C_Disc_D3.8mm_W2.6mm_P2.50mm,
2.2K,R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
Screw_Terminal_01x02,J10,TerminalBlock_bornier-2_P5.08mm,
100u,C13,CP_Radial_D8.0mm_P3.50mm,
Limit Switches Out,J11,JST_XA_B07B-XASK-1_1x07_P2.50mm_Vertical,
Limit Switches Out,J6,JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical,
74HC14,U4,DIP-14_W7.62mm_Socket_LongPads,
2.2K,R4,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
470u,C4,CP_Radial_D8.0mm_P3.50mm,
0.1u,C12,C_Disc_D3.8mm_W2.6mm_P2.50mm,
2.2K,R30,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
10K,R18,R_Axial_DIN0204_L3.6mm_D1.6mm_P10.16mm_Horizontal,
TestPoint,TP2,TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,
2.2K,R7,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
LED,D8,LED_D5.0mm,
100u,C9,CP_Radial_D8.0mm_P3.50mm,
2.2K,R6,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
Screw_Terminal_01x02,J1,TerminalBlock_bornier-2_P5.08mm,
MountingHole,H6,MountingHole_3.2mm_M3_Pad_Via,
LED,D1,LED_D5.0mm,
Flow Sensor,J9,JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical,
Door Switch,J8,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,
2.2K,R27,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
0.1u,C7,C_Disc_D3.8mm_W2.6mm_P2.50mm,
MountingHole,H1,MountingHole_3.2mm_M3_Pad_Via,
B260,D2,D_DO-15_P12.70mm_Horizontal,
LED,D10,LED_D5.0mm,
10K,R17,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
0.1u,C10,C_Disc_D3.8mm_W2.6mm_P2.50mm,
SolderJumper_3_Bridged12,JP3,SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm_NumberLabels,
SolderJumper_3_Bridged12,JP1,SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm_NumberLabels,
SolderJumper_3_Bridged12,JP2,SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm_NumberLabels,
SolderJumper_3_Bridged12,JP7,SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm_NumberLabels,
SolderJumper_3_Bridged12,JP5,SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm_NumberLabels,
SolderJumper_3_Bridged12,JP4,SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm_NumberLabels,
SolderJumper_3_Bridged12,JP9,SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm_NumberLabels,
SolderJumper_3_Bridged12,JP6,SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm_NumberLabels,
SolderJumper_3_Bridged12,JP8,SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm_NumberLabels,
