Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_Disc_D3.8mm_W2.6mm_P2.50mm,98.5,59.75,-90.0,top
C2,0.1u,C_Disc_D3.8mm_W2.6mm_P2.50mm,102.0,32.0,180.0,top
C3,10n,C_Disc_D3.8mm_W2.6mm_P2.50mm,33.75,29.5,180.0,top
C4,470u,CP_Radial_D8.0mm_P3.50mm,49.0,8.152651,-90.0,top
C5,0.1u,C_Disc_D3.8mm_W2.6mm_P2.50mm,54.75,4.0,0.0,top
C6,470u,CP_Radial_D8.0mm_P3.50mm,69.5,8.152651,-90.0,top
C7,0.1u,C_Disc_D3.8mm_W2.6mm_P2.50mm,62.75,4.0,180.0,top
C8,100u,CP_Radial_D8.0mm_P3.50mm,18.0,89.347349,90.0,top
C9,100u,CP_Radial_D8.0mm_P3.50mm,97.5,92.5,-90.0,top
C10,0.1u,C_Disc_D3.8mm_W2.6mm_P2.50mm,85.5,15.75,-90.0,top
C11,470u,CP_Radial_D8.0mm_P3.50mm,114.347349,6.0,0.0,top
C12,0.1u,C_Disc_D3.8mm_W2.6mm_P2.50mm,50.0,46.75,-90.0,top
C13,100u,CP_Radial_D8.0mm_P3.50mm,87.5,92.5,-90.0,top
D1,LED,LED_D5.0mm,105.0,76.0,90.0,top
D2,B260,D_DO-15_P12.70mm_Horizontal,111.0,77.7,-90.0,top
D3,LED,LED_D5.0mm,105.0,94.0,90.0,top
D4,B260,D_DO-15_P12.70mm_Horizontal,111.0,95.7,-90.0,top
D5,LED,LED_D5.0mm,114.0,61.0,-90.0,top
D6,LED,LED_D5.0mm,123.0,61.0,-90.0,top
D7,LED,LED_D5.0mm,138.0,12.725,90.0,top
D8,LED,LED_D5.0mm,131.5,13.0,90.0,top
D9,D_Schottky,D_DO-15_P12.70mm_Horizontal,95.65,3.0,0.0,top
D10,LED,LED_D5.0mm,125.0,13.0,90.0,top
D11,D_Schottky,D_DO-15_P12.70mm_Horizontal,91.0,18.35,-90.0,top
J1,Screw_Terminal_01x02,TerminalBlock_bornier-2_P5.08mm,5.0,77.42,90.0,top
J2,Screw_Terminal_01x02,TerminalBlock_bornier-2_P5.08mm,145.0,77.0,-90.0,top
J3,Relay Signals,JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical,5.0,67.5,-90.0,top
J4,Screw_Terminal_01x02,TerminalBlock_bornier-2_P5.08mm,145.0,88.04,-90.0,top
J5,Limit Switch X,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,5.0,42.5,-90.0,top
J6,Limit Switches Out,JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical,145.525,54.5,-90.0,top
J7,Limit Switch Y,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,5.0,56.0,-90.0,top
J8,Door Switch,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,5.0,29.0,-90.0,top
J9,Flow Sensor,JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical,5.0,19.5,-90.0,top
J10,Screw_Terminal_01x02,TerminalBlock_bornier-2_P5.08mm,145.0,66.04,-90.0,top
J11,Limit Switches Out,JST_XA_B07B-XASK-1_1x07_P2.50mm_Vertical,145.0,27.5,-90.0,top
J12,Limit Switches Out,JST_XA_B05B-XASK-1_1x05_P2.50mm_Vertical,145.0,43.5,-90.0,top
K1,SANYOU_SRD_Form_C,Relay_SPDT_SANYOU_SRD_Series_Form_C,116.5,72.0,0.0,top
K2,SANYOU_SRD_Form_C,Relay_SPDT_SANYOU_SRD_Series_Form_C,116.5,90.0,0.0,top
PS1,DC-DC,Generic_DCDC_Red,28.7675,93.6325,0.0,top
R1,2.2K,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,107.0,72.62,-90.0,top
R2,2.2K,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,36.31,37.5,180.0,top
R3,2.2K,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,36.31,42.5,180.0,top
R4,2.2K,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,107.0,90.62,-90.0,top
R5,2.2K,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,114.0,47.19,90.0,top
R6,2.2K,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,36.31,45.0,180.0,top
R7,2.2K,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,36.31,47.5,180.0,top
R8,2.2K,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,123.0,47.19,90.0,top
R9,2.2K,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,36.31,24.0,180.0,top
R10,470R,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,28.69,26.5,0.0,top
R11,2.2K,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,138.0,9.81,-90.0,top
R12,2.2K,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,36.31,19.5,180.0,top
R13,470R,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,28.69,17.0,0.0,top
R14,2.2K,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,28.69,14.5,0.0,top
R15,2.2K,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,131.5,9.81,-90.0,top
R16,10K,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,129.0,41.0,-90.0,top
R17,10K,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,131.5,41.0,-90.0,top
R18,10K,R_Axial_DIN0204_L3.6mm_D1.6mm_P10.16mm_Horizontal,134.0,41.0,-90.0,top
R19,1K,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,85.5,26.31,-90.0,top
R20,1K,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,95.19,7.5,0.0,top
R21,2.2K,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,125.0,9.81,-90.0,top
R22,220,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,131.19,24.5,0.0,top
R23,220,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,131.19,22.0,0.0,top
R24,220,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,131.19,19.5,0.0,top
R25,10K,R_Axial_DIN0204_L3.6mm_D1.6mm_P12.7mm_Horizontal,136.5,41.0,-90.0,top
R26,10K,R_Axial_DIN0204_L3.6mm_D1.6mm_P12.7mm_Horizontal,139.0,41.0,-90.0,top
R27,2.2K,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,28.69,56.0,0.0,top
R28,2.2K,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,28.69,53.5,0.0,top
R29,2.2K,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,28.69,58.5,0.0,top
R30,2.2K,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,28.69,51.0,0.0,top
RV1,100K,Potentiometer_Bourns_3299Y_Vertical,114.55,15.125,0.0,top
RV2,100K,Potentiometer_Bourns_3299Y_Vertical,83.5,8.5,90.0,top
TP1,TestPoint,TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,120.5,18.5,0.0,top
TP2,TestPoint,TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,89.5,29.5,0.0,top
TP3,TestPoint,TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,80.0,13.5,0.0,top
TP4,TestPoint,TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,109.5,8.5,0.0,top
TP5,TestPoint,TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,75.0,21.0,0.0,top
U1,ULN2003,DIP-16_W7.62mm_Socket_LongPads,90.7,80.9,0.0,top
U2,74HC14,DIP-14_W7.62mm_Socket_LongPads,53.375,41.2,90.0,top
U3,L7805,TO-220-3_Horizontal_TabDown,57.46,9.27,0.0,top
U4,74HC14,DIP-14_W7.62mm_Socket_LongPads,96.7,28.625,0.0,top
