Designator,Mid X,Mid Y,Rotation,Layer
C1,35.306,130.937,270.0,top
C2,39.116,130.937,270.0,top
D1,44.45,129.794,270.0,bottom
D2,38.862,135.636,90.0,bottom
D3,37.338,135.636,90.0,bottom
D4,43.561,133.985,270.0,bottom
J1,39.98,138.285,180.0,top
R1,44.196,132.035,90.0,top
R2,45.72,132.035,270.0,top
R3,45.212,132.969,270.0,bottom
R4,38.862,132.461,90.0,bottom
R5,37.338,132.461,90.0,bottom
R6,45.212,136.144,270.0,bottom
R7,47.23,131.285,270.0,top
U1,30.48,121.285,0.0,top
U2,33.02,130.937,90.0,top
U3,41.656,130.937,90.0,top
