Designator,Mid X,Mid Y,Rotation,Layer
C1,-126.5011,140.0536,180.0,top
C10,-100.8011,142.5536,270.0,top
C11,-128.8011,152.0536,180.0,top
C13,-109.8011,142.5536,180.0,top
C8,-121.0511,148.8036,180.0,top
D1,-126.8011,133.5536,90.0,top
D15,-107.8011,158.5536,180.0,top
D2,-115.3011,133.5536,90.0,top
D3,-127.3011,158.0536,270.0,top
D4,-115.3011,158.0536,270.0,top
D5,-104.0136,146.5536,0.0,top
D6,-104.0136,148.4586,0.0,top
D7,-104.0136,150.3636,0.0,top
J1,-132.8011,128.0536,0.0,top
J2,-107.0511,127.8536,90.0,top
J3,-120.5611,128.0536,0.0,top
J4,-133.2611,163.4236,0.0,top
J5,-120.5611,163.4236,0.0,top
J6,-107.8611,163.4236,0.0,top
P1,-131.8011,147.5536,270.0,top
P6,-133.8011,157.5786,0.0,top
R1,-125.3011,158.0536,270.0,top
R10,-113.3011,133.5536,90.0,top
R11,-107.3786,146.5536,180.0,top
R12,-107.3786,148.4586,180.0,top
R13,-107.3786,150.3636,180.0,top
R16,-107.8011,156.5536,180.0,top
R17,-129.3011,158.0536,270.0,top
R2,-112.9411,158.0536,270.0,top
R3,-126.8011,137.0536,90.0,top
R4,-117.3011,158.0536,270.0,top
R5,-110.8011,158.0536,270.0,top
R6,-131.0511,155.8036,90.0,top
R7,-115.3011,137.0536,90.0,top
R9,-124.8011,133.5536,90.0,top
U1,-117.2111,148.9636,0.0,top
U2,-104.8011,142.5536,180.0,top
U3,-124.8011,143.5536,180.0,top
